,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,distance_to_nearest_stn
40587,Manhattan,Lower East Side,40.71934,-73.98736,Entire home/apt,180,30,3,2,335,0.10301522787135248
40591,Manhattan,Chelsea,40.74492,-74.00463,Entire home/apt,850,2,32,1,365,0.5115109327547374
40592,Manhattan,Harlem,40.803020000000004,-73.95385,Entire home/apt,60,60,0,1,186,0.24529701076880542
40593,Manhattan,Harlem,40.811840000000004,-73.95178,Shared room,40,1,0,2,364,0.09405500541306573
40594,Manhattan,Hell's Kitchen,40.76283,-73.98997,Private room,149,1,3,2,81,0.3391159349585365
40595,Manhattan,East Harlem,40.791920000000005,-73.9462,Private room,73,2,29,4,277,0.18199421265988733
40597,Manhattan,Midtown,40.754329999999996,-73.97051,Entire home/apt,300,28,5,2,90,0.33057150051614637
40600,Manhattan,East Harlem,40.79253,-73.94561999999999,Private room,63,2,26,4,304,0.2655683845028174
40601,Manhattan,East Harlem,40.792559999999995,-73.94638,Private room,83,2,24,4,316,0.23656454673044713
40603,Manhattan,Nolita,40.72387,-73.99391999999999,Entire home/apt,152,30,0,33,180,0.23552032311581964
40613,Manhattan,Harlem,40.82295,-73.94899000000001,Entire home/apt,165,2,4,1,180,0.408920318503592
40614,Manhattan,Lower East Side,40.71915,-73.99104,Entire home/apt,138,7,5,1,362,0.24931844714472132
40615,Manhattan,Harlem,40.82264,-73.93741999999999,Private room,35,5,12,1,166,0.1593256958780207
40617,Manhattan,Morningside Heights,40.81568,-73.96027,Private room,50,1,8,1,179,0.16050968353869396
40618,Manhattan,Harlem,40.82121,-73.94686,Entire home/apt,108,3,18,3,180,0.3742108169613549
40621,Manhattan,Gramercy,40.732490000000006,-73.98263,Entire home/apt,125,30,1,3,305,0.19051764950750918
40624,Manhattan,Midtown,40.75418,-73.9647,Entire home/apt,190,30,0,35,355,0.5248468160999712
40630,Manhattan,Upper West Side,40.79504,-73.96597,Entire home/apt,200,30,1,5,362,0.3923675188218395
40631,Manhattan,Upper West Side,40.78027,-73.98356,Entire home/apt,800,3,2,1,325,0.24234079688979648
40633,Manhattan,Upper West Side,40.79286,-73.9678,Entire home/apt,200,30,1,5,362,0.29483089061611667
40636,Manhattan,East Village,40.73191,-73.98839,Entire home/apt,260,4,2,1,177,0.21812682910269962
40638,Manhattan,Hell's Kitchen,40.76513,-73.9868,Entire home/apt,489,30,0,1,352,0.3048342890830549
40639,Manhattan,Kips Bay,40.744479999999996,-73.97923,Entire home/apt,225,21,1,1,233,0.2989748257869983
40642,Manhattan,Chelsea,40.7493,-73.99544,Entire home/apt,156,5,26,1,110,0.29037842929798025
40646,Manhattan,Hell's Kitchen,40.76392,-73.98788,Private room,162,3,3,2,365,0.22816616919244706
40651,Manhattan,Murray Hill,40.74876,-73.97691,Entire home/apt,116,2,5,2,206,0.30555632733576876
40667,Manhattan,Lower East Side,40.71371,-73.9881,Shared room,70,2,6,1,365,0.17516559577057159
40672,Manhattan,East Harlem,40.79698,-73.9374,Private room,40,4,8,3,0,0.4002300764530329
40675,Manhattan,Washington Heights,40.84594,-73.94064,Private room,100,2,13,1,0,0.17942921266884929
40678,Manhattan,East Harlem,40.79229,-73.94429000000001,Entire home/apt,293,7,1,4,179,0.30318508106727216
40679,Manhattan,Upper West Side,40.789159999999995,-73.97976,Entire home/apt,300,45,2,1,73,0.30439764883267717
40680,Manhattan,Harlem,40.821659999999994,-73.95508000000001,Private room,94,2,11,1,159,0.12458851382598157
40683,Manhattan,Hell's Kitchen,40.76417,-73.99416,Entire home/apt,200,1,23,1,230,0.7161031945737618
40689,Manhattan,Harlem,40.81661,-73.95733,Private room,50,2,4,1,0,0.1441747341494618
40691,Manhattan,Nolita,40.72341,-73.99537,Entire home/apt,122,3,7,1,0,0.19378984021817441
40693,Manhattan,Midtown,40.7587,-73.96319,Private room,200,21,0,1,0,0.5113972784630907
40697,Manhattan,Harlem,40.80425,-73.94643,Private room,75,1,0,1,364,0.36027892182593796
40698,Manhattan,East Harlem,40.793459999999996,-73.93972,Entire home/apt,250,2,22,1,243,0.4197335604941281
40702,Manhattan,Midtown,40.744890000000005,-73.98738,Entire home/apt,99,7,9,1,19,0.12945606653067243
40704,Manhattan,Upper East Side,40.778890000000004,-73.95349,Entire home/apt,231,30,0,280,313,0.18158911637214634
40706,Manhattan,Harlem,40.80305,-73.95039,Private room,58,1,9,1,89,0.12387094761160475
40708,Manhattan,Upper East Side,40.78236,-73.95486,Entire home/apt,200,2,2,1,0,0.32438095538195155
40710,Manhattan,Washington Heights,40.846379999999996,-73.9394,Private room,55,1,11,1,37,0.11516219393966678
40713,Manhattan,Lower East Side,40.71966,-73.99077,Private room,220,2,0,1,0,0.25284236212609895
40714,Manhattan,Hell's Kitchen,40.75854,-73.99504,Entire home/apt,289,2,24,1,259,0.4683923463604057
40715,Manhattan,Upper West Side,40.792120000000004,-73.97565999999999,Private room,150,1,1,1,158,0.34529719719015745
40716,Manhattan,Murray Hill,40.745709999999995,-73.97615,Entire home/apt,400,180,0,8,365,0.5021878254453978
40717,Manhattan,East Village,40.72813,-73.98451999999999,Private room,95,1,12,1,365,0.3974468998429738
40719,Manhattan,Chelsea,40.74684,-73.99207,Entire home/apt,115,30,2,14,363,0.11703031255608194
40720,Manhattan,Chelsea,40.74684,-73.99207,Entire home/apt,115,30,0,14,267,0.11703031255608194
40721,Manhattan,Hell's Kitchen,40.762370000000004,-73.99342,Entire home/apt,205,3,15,1,0,0.6279430037671291
40723,Manhattan,Chelsea,40.74684,-73.99207,Entire home/apt,115,30,0,14,364,0.11703031255608194
40725,Manhattan,Midtown,40.764379999999996,-73.98447,Entire home/apt,180,10,0,1,364,0.24898179965003156
